query_id	hikmah_ranked_ids	bm25_ranked_ids	hikmah_ndcg10	bm25_ndcg10	hikmah_recall10	bm25_recall10
PLAIN-1008			0.0	0.0	0.0	0.0
PLAIN-1018	MED-4357,MED-5092,MED-2751,MED-4936,MED-4005,MED-3012,MED-5371,MED-4736,MED-5096,MED-1503	MED-5095,MED-839,MED-4936,MED-5091,MED-928,MED-1832,MED-3012,MED-5092,MED-5093,MED-838	0.4220949603708207	0.4922818839877925	0.06666666666666667	0.1
PLAIN-102	MED-4247,MED-3253,MED-1999,MED-3954,MED-4160,MED-1987,MED-4791,MED-1120,MED-2763,MED-5151	MED-4247,MED-4616,MED-3954,MED-1999,MED-3253,MED-4160,MED-5251,MED-1932,MED-4315,MED-4496	0.20436662668128655	0.12530682344457728	0.041666666666666664	0.041666666666666664
PLAIN-1028	MED-1374,MED-3622,MED-5072,MED-3931,MED-3951,MED-4178,MED-2294,MED-5177,MED-1195,MED-5091	MED-4178,MED-3248,MED-2412,MED-1861,MED-4555,MED-4131,MED-1677,MED-754,MED-1885,MED-3486	0.0	0.0	0.0	0.0
PLAIN-1039	MED-4381,MED-4380,MED-3275,MED-1414,MED-1466,MED-4476,MED-924,MED-4791,MED-843,MED-3231	MED-4380,MED-4381,MED-3221,MED-3215,MED-1067,MED-846,MED-5270,MED-2098,MED-4995,MED-3943	1.0	1.0	1.0	1.0
PLAIN-1050	MED-2324,MED-1116,MED-2763,MED-2502,MED-3380,MED-1021,MED-2498,MED-2820,MED-2510,MED-3283	MED-1712,MED-2510,MED-2498,MED-1021,MED-2324,MED-3283,MED-2509,MED-2502,MED-1116,MED-2763	0.11004588314904008	0.06362078819895171	0.010638297872340425	0.010638297872340425
PLAIN-1066	MED-2324,MED-1116,MED-2763,MED-4476,MED-2502,MED-3380,MED-1021,MED-892,MED-2498,MED-2820	MED-1712,MED-2510,MED-2498,MED-1021,MED-2324,MED-3283,MED-2509,MED-2502,MED-1116,MED-2763	0.0	0.0	0.0	0.0
PLAIN-1088	MED-2109,MED-2110	MED-2109,MED-2110	0.5531464700081437	0.5531464700081437	0.4	0.4
PLAIN-1098			0.0	0.0	0.0	0.0
PLAIN-1109	MED-5323,MED-1732,MED-1777,MED-1763,MED-1736,MED-5167,MED-1003,MED-1776,MED-2650,MED-2643	MED-2643,MED-2650,MED-1763,MED-5323,MED-1777,MED-1003,MED-5167,MED-1100,MED-1099,MED-4728	0.22466337602289155	0.604685538711841	0.030612244897959183	0.05102040816326531
PLAIN-1119	MED-1534,MED-869,MED-1708,MED-2115,MED-4398,MED-4025,MED-1055,MED-2490,MED-3051,MED-877	MED-4025,MED-1708,MED-1710,MED-3091,MED-1534,MED-4834,MED-1627,MED-1707,MED-895,MED-4036	0.0	0.0	0.0	0.0
PLAIN-112	MED-3380,MED-2616,MED-4604,MED-2618,MED-2992,MED-3382,MED-5063,MED-2489,MED-1650,MED-4081	MED-3380,MED-2618,MED-3382,MED-2616,MED-4604,MED-3383,MED-1153,MED-4655,MED-2643,MED-2992	0.428666671221627	0.4222280166138916	0.05357142857142857	0.03571428571428571
PLAIN-1130	MED-4165	MED-4165	1.0	1.0	1.0	1.0
PLAIN-1141	MED-2112,MED-1037,MED-5346,MED-1398,MED-1878,MED-1704,MED-2428,MED-2817,MED-1051,MED-1343	MED-2112,MED-2428,MED-5346,MED-3113,MED-1398,MED-1037,MED-1878,MED-2817,MED-4157,MED-1051	0.22009176629808017	0.22009176629808017	0.0625	0.0625
PLAIN-1151	MED-4489,MED-4139,MED-1179,MED-1181,MED-4136,MED-4141,MED-5209,MED-4791,MED-1041,MED-3113	MED-1179,MED-4489,MED-3306,MED-1759,MED-1181,MED-2299,MED-2742,MED-3372,MED-2388,MED-3310	0.37183505243062814	0.1681522864689108	0.026143790849673203	0.013071895424836602
PLAIN-1161	MED-2147,MED-2141,MED-3136,MED-719,MED-3132,MED-2144,MED-4869,MED-5078,MED-1150,MED-890	MED-3584,MED-3138,MED-1880,MED-2140,MED-3136,MED-2141,MED-4991,MED-2147,MED-2144,MED-5079	0.0	0.0	0.0	0.0
PLAIN-1172	MED-4150	MED-4150	0.22009176629808017	0.22009176629808017	0.05263157894736842	0.05263157894736842
PLAIN-1183	MED-3856,MED-4727,MED-1276,MED-5331,MED-3981,MED-2582,MED-5369,MED-1201,MED-3976,MED-1242	MED-1276,MED-4727,MED-5331,MED-2582,MED-10,MED-3856,MED-1201,MED-4070,MED-3981,MED-3976	0.11004588314904008	0.28952298823485745	0.04	0.08
PLAIN-1193	MED-839,MED-2378,MED-3868,MED-1523,MED-3667,MED-557,MED-4811,MED-4730,MED-4525,MED-5059	MED-2378,MED-3868,MED-839,MED-3796,MED-1825,MED-1826,MED-3869,MED-1827,MED-4303,MED-4004	0.0	0.06362078819895171	0.0	0.05555555555555555
PLAIN-12	MED-5042,MED-4698,MED-4262,MED-1376,MED-3625,MED-4812,MED-2501,MED-2347,MED-4454,MED-1366	MED-4711,MED-5042,MED-2501,MED-4698,MED-2333,MED-4884,MED-1376,MED-2603,MED-2136,MED-1167	0.0	0.0	0.0	0.0
